total_units,units_2,units_3_4,units_5_9,units_10_19,units_20plus,median_rent,median_value,renter_occupied,total_occupied,population,median_hh_income,GEOID,affordability_stress_index,rent_burdened,mf_share,log_rent,log_income,mean_max_height_ft,mean_max_far,mean_max_du_per_acre
1427,71,71,65,0,28,1838.0,477700.0,303,1360,4214,140536.0,25005600204,0.15694199351055957,0.0,0.1646811492641906,7.516433302915632,11.85321896269322,,,
2553,508,101,145,152,189,1567.0,428500.0,1118,2433,5702,88234.0,25005610100,0.2131151256885101,0.0,0.4289071680376028,7.356918242356021,11.387747655241999,,,
1902,27,51,16,78,42,2305.0,583800.0,216,1860,5540,161542.0,25005610202,0.17122482078963983,0.0,0.11251314405888538,7.742835955430749,11.992520449754114,,,
2423,62,47,267,106,7,1357.0,569400.0,186,2368,6745,170357.0,25005610203,0.0955875015408818,0.0,0.20181593066446554,7.213031659834869,12.045651514114544,,,
2289,178,15,241,468,231,1600.0,568200.0,884,2219,5844,104714.0,25005610204,0.18335657123211796,0.0,0.4949759720401922,7.3777589082278725,11.558988103296793,,,
1998,8,34,135,118,126,2128.0,476200.0,440,1931,5381,111935.0,25005611101,0.2281323982668513,0.0,0.2107107107107107,7.662937850461535,11.625673624661982,,,
1222,34,56,68,80,0,1040.0,450600.0,292,1222,5070,111111.0,25005611102,0.11232011232011233,0.0,0.19476268412438624,6.946975992135418,11.618284980627555,,,
1144,77,74,9,0,0,2072.0,480500.0,175,1134,3127,133558.0,25005611201,0.18616630976804083,0.0,0.13986013986013987,7.6362696033793735,11.802291119402195,,,
2432,55,103,105,0,53,,412800.0,197,2301,5599,107630.0,25005611202,,,0.1299342105263158,,11.586454698258343,,,
1806,43,109,122,22,12,1204.0,478700.0,426,1756,4580,96570.0,25005612100,0.1496116806461634,0.0,0.17054263565891473,7.093404625868766,11.478023412960964,,,
1540,34,14,246,43,104,1766.0,451500.0,549,1527,4476,93388.0,25005612201,0.22692423009380222,0.0,0.2863636363636364,7.476472381163905,11.444518136305328,,,
2411,0,93,346,15,0,1614.0,462200.0,343,2365,6068,123313.0,25005612202,0.15706373212881042,0.0,0.1883036084612194,7.3864708488298945,11.722481117495727,,,
2923,354,394,71,0,0,1160.0,359300.0,706,2851,7310,76541.0,25005613100,0.18186331508603232,0.0,0.28019158398905236,7.05617528410041,11.245581823958364,,,
3021,186,121,6,0,0,1768.0,345400.0,211,2928,7397,114556.0,25005613300,0.1852019972764412,0.0,0.10360807679576299,7.477604243197589,11.64881906538377,,,
1525,162,38,79,0,0,1000.0,402900.0,261,1519,3764,108487.0,25005613400,0.11061233143141574,0.0,0.18295081967213114,6.907755278982137,11.594385629115978,,,
1741,368,517,160,40,98,1119.0,315100.0,1039,1599,3748,49918.0,25005613600,0.2690011619055251,0.0,0.6794945433658817,7.020190708311925,10.818136938138158,,,
2148,393,321,420,13,74,1466.0,326600.0,1087,1986,4454,57337.0,25005613700,0.3068175872473272,1.0,0.5684357541899442,7.290292882446597,10.956701418570916,,,
2559,477,1031,384,215,41,1031.0,477100.0,1869,2335,5233,29878.0,25005613800,0.41408394136153687,1.0,0.839390386869871,6.93828448401696,10.304877702602262,,,
1437,287,320,48,190,27,1068.0,381000.0,996,1399,3124,47398.0,25005613901,0.27039115574496814,0.0,0.6068197633959638,6.97354301952014,10.766335312700145,,,
2152,278,120,106,3,0,1125.0,337000.0,381,2062,5437,75882.0,25005613902,0.17790780422234523,0.0,0.23559479553903345,7.025538314638521,11.236934781108031,,,
2167,446,559,279,152,171,1199.0,347100.0,1349,2003,4829,44523.0,25005614000,0.32315881679132136,1.0,0.7415782187355792,7.089243155027514,10.703761188563927,,,
2913,420,106,184,188,306,1404.0,341500.0,891,2609,6745,72762.0,25005614101,0.2315494351447184,0.0,0.41331960178510124,7.247080584585756,11.194949119884846,,,
2681,108,89,22,0,33,1694.0,403200.0,326,2544,7395,99438.0,25005614102,0.20442889036384482,0.0,0.09399477806788512,7.434847875211999,11.507289613351599,,,
3001,191,140,35,0,0,1482.0,453500.0,304,2911,8083,116712.0,25005615100,0.15237507711289328,0.0,0.12195934688437188,7.301147805856032,11.667464640751732,,,
2335,29,23,0,0,0,,454600.0,63,2192,6768,140000.0,25005616100,,,0.02226980728051392,,11.84939770159144,,,
1842,37,30,11,13,0,1603.0,452400.0,120,1818,4922,122198.0,25005617101,0.15741665166369337,0.0,0.0494028230184582,7.3796321526095525,11.713397958973585,,,
1582,92,0,0,0,0,2081.0,468300.0,173,1425,4277,133932.0,25005617102,0.18645282680763373,0.0,0.05815423514538559,7.640603826393634,11.805087487443716,,,
1711,243,512,157,116,154,1460.0,365600.0,1097,1681,3630,90036.0,25005630101,0.194588831134213,0.0,0.6908240794856809,7.286191714702382,11.407964869333728,,,
2381,216,468,258,47,165,1141.0,295400.0,989,2280,4857,88086.0,25005630102,0.1554390027927253,0.0,0.4846703065938681,7.039660349862076,11.386068888967515,,,
1182,0,31,0,0,0,,461800.0,43,1182,3111,139000.0,25005630201,,,0.02622673434856176,,11.842229212112828,,,
