total_units,units_2,units_3_4,units_5_9,units_10_19,units_20plus,median_rent,median_value,renter_occupied,total_occupied,population,median_hh_income,GEOID,affordability_stress_index,rent_burdened,mf_share,log_rent,log_income,mean_max_height_ft,mean_max_far,mean_max_du_per_acre
1964,16,84,15,0,20,1055.0,432400.0,212,1913,5271,130163.0,25005630202,0.0972626629687392,0.0,0.06873727087576374,6.961296045910167,11.77654279018293,,,
2006,7,66,32,0,0,,579100.0,88,1986,5741,147386.0,25005630301,,,0.052342971086739784,,11.900810274579303,,,
1265,95,150,87,77,24,1168.0,400200.0,518,1255,2964,84922.0,25005630302,0.16504557123006997,0.0,0.3422924901185771,7.0630481633881725,11.349488467117814,,,
2382,106,22,47,462,229,1379.0,442700.0,749,2316,5176,105507.0,25005630400,0.15684267394580453,0.0,0.3635600335852225,7.229113877793302,11.566532580408047,,,
1511,175,52,39,15,0,1167.0,297900.0,575,1511,3346,62625.0,25005631101,0.22361676646706588,0.0,0.18596955658504302,7.062191632286556,11.044919838387166,,,
1889,284,71,95,0,32,1347.0,355600.0,227,1758,4741,86435.0,25005631102,0.18700757794874762,0.0,0.25516146109052407,7.205635176410364,11.367147965356887,,,
3016,109,141,98,38,21,1368.0,436100.0,618,2910,8148,124918.0,25005631200,0.1314142077202645,0.0,0.13494694960212203,7.221105098182496,11.735412801022292,,,
2557,199,187,73,288,24,1227.0,452500.0,636,2154,5280,97083.0,25005631300,0.15166404004820616,0.0,0.3015252248728979,7.112327444710911,11.483321561711648,,,
1465,130,471,163,53,175,1355.0,341400.0,1102,1317,3372,56417.0,25005631400,0.288211000230427,0.0,0.6771331058020478,7.2115567333138015,10.940525810508454,,,
1394,262,390,42,23,0,1726.0,292400.0,535,1253,3022,78384.0,25005631500,0.2642375995101041,0.0,0.5143472022955524,7.453561871643373,11.269375103878357,,,
1651,225,620,163,17,67,1237.0,291200.0,773,1347,3523,51771.0,25005631600,0.2867242278495683,0.0,0.6614173228346457,7.1204443723924875,10.854585425915689,,,
2527,43,70,84,38,0,1568.0,380300.0,390,2436,6995,128349.0,25005631700,0.14660028515999346,0.0,0.09299564701226751,7.357556200910353,11.762508395072986,,,
3457,266,175,125,404,49,1360.0,359000.0,1285,3327,7957,96927.0,25005631800,0.1683741372373023,0.0,0.29476424645646515,7.215239978730097,11.481713396837462,,,
2713,100,60,0,0,0,1717.0,428900.0,413,2580,6658,110649.0,25005632100,0.18621044925846597,0.0,0.058975304091411725,7.448333860897476,11.614118307932708,,,
3549,249,231,53,16,136,1666.0,438300.0,576,3195,8817,102393.0,25005632200,0.19524772201224694,0.0,0.19301211608903918,7.418180822726788,11.536573629875935,,,
2252,88,23,0,20,0,1177.0,464600.0,238,2151,6056,110491.0,25005633100,0.12782941597053152,0.0,0.058170515097690945,7.0707241072602764,11.612689348659078,,,
2541,14,85,48,0,0,1212.0,459000.0,174,2367,6558,135573.0,25005633200,0.10727799783142661,0.0,0.05785123966942149,7.10002716662926,11.817265519618152,,,
2211,281,429,0,123,0,1002.0,363700.0,649,2068,5903,66719.0,25005640100,0.18021852845516267,0.0,0.37675260063319765,6.90975328164481,11.108245048910714,,,
1185,94,787,235,22,0,1264.0,272700.0,938,1112,2892,47014.0,25005640201,0.3226273025056366,1.0,0.960337552742616,7.142036574706803,10.758200708677464,,,
1962,191,759,527,33,30,870.0,326000.0,1383,1885,3773,31901.0,25005640202,0.32726246826118305,1.0,0.7849133537206932,6.76849321164863,10.370392636243981,,,
1761,399,190,170,158,14,1069.0,341900.0,792,1761,4401,72917.0,25005640300,0.1759260529094724,0.0,0.5286768881317433,6.974478911025045,11.197077086969873,,,
1523,255,567,221,0,0,1077.0,360500.0,795,1381,2930,49122.0,25005640400,0.26310003664345916,0.0,0.6848325673013789,6.981934677156389,10.802062278604502,,,
2547,267,1084,401,52,120,1094.0,317900.0,1890,2443,5010,42051.0,25005640500,0.312192337875437,1.0,0.7553985080486847,6.9975959829819265,10.646638446331167,,,
